123,1, Nguyen, Van A, 30, 1, 2020, Nguyen Van B, 0297694255, Tran Thi Anh, 0168233170
123,2, Chau, Gia Vinh, 23, 11, 2020, Chau Au, 091231238, Chau A, 05212135
456,3, Nguyen, Minh Tri, 1, 1, 2020, Nguyen G, 0143124, Ms.M, 125124124213132
789,4, Phan, Tri, 2, 10, 2020, Phan Le, 12153324234, Kim, 124125321472354
123,5, Ng, The Bao, 5, 5, 2020, Nguyen, 125124123123, Beo, 2141265t125241
678,6, Khong, biet ten, 26, 9, 2020, Ko, 362235234234, Bt, 3162352354234
456,7, A, AKA, 1, 2, 2020, Mr.A, 124124124, Ms.A, 213124124124
789,8, B, BCC, 5, 6, 2020, Mr.B, 2141243123, Ms.B, 213124124124
678,9, C, Cpp, 4, 5, 2020, Mr.C, 12412541241, Ms.C, 154112121234
678,10, D, Dck, 5, 6, 2020, Mr.B, 2141243123123, Ms.B, 1231254124124
678,11, E, EAS, 6, 7, 2020, Mr.E, 12434124124124, Ms.E, 12653465475677
123,12, F, FF, 20, 10, 2020, Mr.F, 326347568679345, Ms.F, 43635636434643
456,13, G, Gnut, 10, 7, 2020, Mr.G, 23662433463463465, Ms.G, 3255322532543254324
